ph,Solids,Turbidity,Potability
7.39,394,2.1,1
7.86,393,2.9,0
7.8,388,2.8,0
7.89,319,3,0
6.71,178,1.6,0
8.02,80,2.5,1
8.3,38,2.2,1
9.2,313,4.5,0
7.51,390,2.2,1
7.21,39,2.3,1
9.09,594,5.3,0
8.39,294,3,0
7.99,86,3.7,0
7.85,395,2.7,0
7.77,270,3,1
7.53,143,1.7,0
7.74,385,2.1,1
7.87,394,2.8,0
8.77,494,4.3,0
7.71,388,2.4,1
7.16,35,2.3,1
7.66,325,2.9,0
7.12,88,2.3,1
7.19,228,1.5,1
8.39,69,2.7,0
8.18,62,2.4,1
7.04,209,2.2,0
7.44,391,2,1
7.2,36,2.5,1
7.82,62,3.3,1
7.8,386,2.5,0
6.78,240,2.6,1
7.12,92,2,1
7.14,255,1.6,0
9.08,585,5.3,0
9.25,315,4.7,0
8.02,340,4.1,0
7.78,386,2.5,0
7.68,353,3.8,1
7.15,35,2.3,1
7.46,23,3.3,1
7.62,334,3.5,1
7.69,394,2.7,0
7.52,65,2.6,1
8.1,190,2.1,1
7.76,389,2.3,1
7.56,164,2.8,1
7.46,143,2.1,1
7.22,40,2.2,1
7.7,393,2.5,0
7.56,424,4.3,0
7.66,101,2.7,1
7.55,430,3.5,1
7.57,522,3.4,0
7.58,398,3.7,1
7.48,145,2.1,1
9.24,314,4.6,0
8.23,448,4.6,0
7.81,390,2.7,0
9.11,590,5.4,0
7.7,23,2.8,1
7.84,61,2.7,1
7.48,388,2.1,1
7.34,71,2.9,1
7.51,149,1.9,1
7.6,432,2.6,1
7.74,260,3.1,1
7.18,93,2.5,1
7.76,280,3,1
8.2,93,3.7,0
7.82,388,2.6,0
7.38,388,2.2,1
7.81,387,2.5,0
8.53,358,4.9,0
9.18,318,4.6,0
9.12,589,5.2,0
7.51,205,2.7,1
8.37,64,2.9,0
7.9,130,2.9,1
8.98,322,4.2,0
7.21,341,3.2,1
7.17,34,2.2,1
7.62,392,2.3,1
8.39,469,4.4,0
7.42,392,2,1
8.42,216,3.9,0
9.6,395,5.8,0
7.4,391,2.4,1
7.5,150,1.8,1
8.94,591,5.3,0
7.78,394,2.2,1
7.14,91,2.2,1
7.67,236,3.3,0
7.8,105,3.1,1
8.59,56,4.2,0
7.47,102,2.1,1
7.52,148,1.9,1
7.42,387,2,1
8.34,66,2.4,0
8.18,61,2.4,1
8.34,66,2.4,0
7.5,147,1.9,1
9.11,593,5.2,0
7.74,390,2,1
7.58,319,2.7,1
8.14,379,2.3,0
7.36,207,3.4,0
7.75,385,2.7,0
7.72,392,2.3,1
8.35,67,2.6,0
7.82,35,2.8,1
8.33,63,2.5,0
7.15,90,2.4,1
7.76,390,2.6,0
7.11,23,2,1
7.65,342,3.6,1
7.74,290,3.2,1
8.34,64,2.5,0
7.67,395,2.4,0
7.42,78,3,1
7.67,240,3.4,0
7.44,393,2.3,1
7.7,317,3.5,1
7.41,370,2.8,1
7.58,424,4.5,0
7.72,388,2.7,0
7.35,23,2.6,1
7.43,95,2.9,1
7.4,390,2.1,1
8.38,68,2.7,0
7.41,390,2.4,1
8.32,68,2.7,0
9.12,595,5.2,0
7.36,344,2.6,1
7.82,390,2.6,0
7.39,333,2.9,1
7.15,33,2.4,1
7.17,38,2.6,1
7.42,36,1.5,1
7.68,355,3,1
9.22,310,4.4,0
7.65,400,4.4,0
7.97,39,2.2,1
8.38,62,2.5,0
7.75,390,2.2,1
8.92,378,4.2,0
9.12,589,5,0
7.6,406,2.6,1
8.73,224,3.1,0
9.14,587,5.2,0
7.74,391,2.8,0
7.77,391,2.6,0
7.76,385,2.7,0
9.24,311,4.6,0
9.23,314,4.6,0
7.08,94,2.1,1
8.3,26,2.4,1
8.28,42,2,1
8.35,67,2.8,0
7.73,387,2.7,0
7.09,93,2.4,1
7.83,333,3.4,0
9.37,348,5.4,0
7.7,328,3.5,1
7.42,392,2.1,1
7.72,322,3.6,1
7.62,352,3.3,1
9.2,317,4.5,0
7.42,99,1.2,1
7.45,388,2.1,1
7.81,59,2.7,1
7.47,142,2.2,1
8.48,318,3.6,0
7.12,228,2.6,0
7.78,389,2.5,0
8.1,379,2.7,0
7.88,380,1.8,0
7.44,451,3.6,1
7.94,319,3.1,0
7.69,387,2.7,0
8.56,251,4.5,0
7.82,90,2.7,1
7.64,385,2.2,1
9.22,313,4.6,0
9.05,640,5.5,0
7.3,241,2,1
7.35,419,2.8,1
7.51,149,1.8,1
7.84,102,2.8,1
8.24,52,2.3,1
7.66,310,3.4,1
8.48,644,4.5,0
7.71,255,3,1
8.4,70,2.8,0
9.21,318,4.4,0
7.37,209,2.8,0
7.56,408,3.9,1
7.68,313,3.5,1
8.38,69,2.7,0
9.21,312,4.8,0
7.11,94,2.5,1
7.85,325,3.1,1
7.57,386,2.1,1
8.36,65,2.6,0
7.71,395,2.5,0
7.65,338,3.2,1
9.15,596,5,0
7.21,39,2.2,1
7.64,319,2.7,0
7.7,334,3.3,0
7.18,38,2.4,1
7.7,387,2.7,0
7.82,391,2.6,0
7.1,96,2.3,1
9.1,580,5.4,0
9.77,364,5.2,0
8.12,38,1.1,1
7.82,392,2.7,0
7.11,92,2.1,1
7.68,356,4,1
7.44,388,2.1,1
7.54,416,3.8,1
7.94,96,2.7,1
7.62,388,3.1,1
9.17,319,4.4,0
8.35,67,2.9,0
9.2,313,4.5,0
7.43,442,3.8,1
7.72,392,2.5,1
7.49,146,2,1
7.54,141,2.2,1
7.79,385,2.6,0
9.23,316,4.5,0
7.34,285,2.6,1
7.84,392,2.7,0
8.02,263,2.7,1
8.41,71,2.8,0
7.85,395,2.8,0
7.89,38,1.4,1
8.53,181,3.2,0
7.16,35,2.4,1
7.73,393,2.5,1
7.76,232,2.7,1
9.13,586,5.2,0
7.85,395,2.5,0
7.7,395,2.1,1
7.73,386,2.6,0
7.5,148,1.8,1
7.7,346,4.1,0
7.52,441,4.3,0
7.64,334,3,1
7.77,392,2.3,1
7.22,104,2.8,1
7.47,120,2,1
7.75,389,2.2,1
7.49,388,2.3,1
7.63,340,3.1,1
7.99,96,2.8,1
9.63,192,4.1,0
7.64,35,2.6,1
7.43,387,2,1
8.12,78,3.2,0
7.68,365,3.2,1
8.58,320,3.7,0
7.88,115,2.9,1
9.18,315,4.8,0
9.12,591,5.3,0
7.9,367,3.1,0
9.13,590,5.2,0
7.13,90,2.3,1
7.17,395,2.3,1
7.39,46,1.8,1
7.18,68,1.6,1
7.85,228,2.5,0
6.9,74,1.9,1
7.52,144,2.3,1
7.88,48,2.7,1
7.88,131,2.9,1
7.79,394,2.8,0
7.15,34,2.3,1
7.8,390,2.6,0
7.59,451,3.3,1
7.66,345,3.6,1
8.03,79,2.5,1
9.32,375,4.8,0
8.37,64,2.5,0
8.05,78,2.5,1
7.44,388,2.2,1
8.1,58,2.8,1
7.41,392,2.2,1
7.19,34,2.4,1
9.11,591,5.2,0
7.46,462,4.8,0
9.21,313,4.6,0
7.16,325,2.6,1
7.77,391,2.4,1
7.17,35,2.2,1
7.52,438,4.3,0
7.75,390,2.1,1
7.61,289,2.6,1
7.83,396,3,0
7.83,388,2.6,0
7.1,93,2.2,1
7.74,388,2.8,0
7.51,447,4.4,0
7.43,388,2.2,1
8.19,40,1.5,1
7.4,393,2.3,1
7.56,390,2.3,1
7.76,96,4.2,0
9.19,320,4.3,0
7.51,142,2.1,1
7.45,385,2.3,1
9.15,595,5.1,0
7.52,221,2.6,1
7.53,147,2,1
8.54,436,5.4,0
7.67,249,2.1,1
7.5,448,4.5,0
7.46,386,2.1,1
7.13,91,2.5,1
7.52,142,2.3,1
7.55,412,3.8,1
7.1,94,2,1
7.7,319,2.8,0
7.11,94,2,1
9.23,316,4.6,0
7.58,375,3,1
7.71,323,3.6,1
7.72,392,2.4,1
9.14,591,5.2,0
7.72,390,2.6,0
7.93,271,3.4,1
9.53,326,3.8,0
7.18,36,2.1,1
7.6,330,3.5,1
9.11,321,4.3,0
7.78,240,3.1,1
7.34,274,3.7,1
9.07,583,5.4,0
7.36,95,2.8,1
7.62,350,3.3,1
7.09,93,2.2,1
7.76,385,2.5,1
7.47,144,2.2,1
8.2,104,2.7,1
7.18,38,2.5,1
8.14,55,2.6,1
7.68,538,2.9,0
7.78,388,2.4,1
7.74,388,2.7,0
7.56,440,4,0
7.48,39,2.3,1
7.43,133,3.8,1
9.12,590,5.2,0
8.42,501,4.4,0
9.13,584,5.1,0
7.53,147,2,1
7.44,390,2.3,1
9.1,593,5.3,0
7.57,427,4.5,0
9.12,590,5.2,0
7.94,27,2.1,1
7.79,258,2.6,0
7.73,392,2.5,0
8.09,66,2.7,1
7.68,395,2.5,0
8.39,69,2.6,0
7.17,34,2.1,1
8.34,377,2.9,0
8.1,377,3.4,0
7.54,425,4.1,0
7.82,245,2.3,1
7.84,408,3.5,0
7.5,424,2.4,0
7.51,146,2,1
7.31,85,2.7,1
7.48,460,4.6,0
7.64,392,4.2,0
8.01,501,2.9,1
7.54,442,4.1,0
7.76,340,3,1
7.96,38,2.3,1
7.78,390,2.7,0
7.56,146,3.2,1
7.51,144,2.3,1
7.49,93,3,1
7.6,418,3.8,1
7.75,390,2.2,1
7.83,392,2.6,0
8.08,70,2.6,1
7.7,412,3,1
7.93,106,2.5,1
7.68,359,3.7,1
7.42,389,2.4,1
7.84,387,2.4,0
9.1,618,4.8,0
7.1,92,2.2,1
8.36,69,2.7,0
7.11,88,2.3,1
9.19,320,4.3,0
7.16,35,2.5,1
8.22,44,2.7,1
7.7,392,2.4,0
8.13,99,2.5,1
8.23,393,3.4,0
7.16,87,2.4,1
8.23,52,2.3,1
8.91,519,3.8,0
7.48,145,2.3,1
7.68,361,3.3,1
7.65,413,3.2,1
7.19,37,2.4,1
7.79,385,2.7,0
7.6,84,2.4,1
9.16,591,5.1,0
7.7,324,3,0
7.77,389,2.3,1
8.12,114,2.2,1
7.53,219,2.3,1
7.5,146,2,1
7.71,389,2.4,0
7.48,142,2.2,1
8.36,65,2.7,0
7.52,206,2.8,1
7.15,23,2.2,1
7.71,390,2.6,0
8.63,554,3.7,0
7.19,37,2.6,1
7.46,82,3,1
7.58,455,3.3,1
9.12,586,5.2,0
7.69,93,3.3,1
8.18,89,2.1,1
9.11,588,5.5,0
9.14,592,5,0
7.98,294,2.8,1
7.79,307,2.5,1
7.11,216,2.6,1
7.08,95,2.1,1
7.66,35,2.6,1
8.36,65,2.6,0
8.04,435,3,1
7.49,452,4.5,0
7.64,414,4.9,0
7.58,427,4.4,0
7.54,247,2,1
7.66,392,3.9,0
7.53,169,2,1
7.56,156,2.9,1
7.52,143,2.2,1
9.23,312,4.7,0
7.2,37,2.5,1
7.1,88,2.3,1
7.87,23,2.5,1
9.26,311,4.7,0
8.04,656,4.1,0
7.79,387,2.2,1
7.85,81,2.5,1
7.96,88,2.8,1
7.13,90,2.1,1
8.35,63,2.7,0
7.14,32,2.2,1
7.52,414,2.9,1
7.14,89,2.1,1
8.36,65,2.6,0
7.77,388,2.4,1
7.11,92,2.3,1
7.68,394,2.6,0
7.49,146,2,1
