ph,Solids,Turbidity,Hardness,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Potability
7.39,394,2.1,200.565661,7.117627,328.914227,376.081607,12.217506,67.83131,1
7.86,393,2.9,213.338517,7.263241,327.799509,411.713629,14.829498,66.718395,0
7.8,388,2.8,222.508128,6.947539,313.186082,455.693842,14.455416,61.5659,0
7.89,319,3.0,211.182979,7.361872,315.990969,456.294645,13.110834,66.901653,0
6.71,178,1.6,197.833957,6.521361,328.109946,424.42133,13.777211,62.977294,0
8.02,80,2.5,199.603025,6.744553,325.560812,482.091183,13.654998,74.471131,1
8.3,38,2.2,204.168518,7.54599,319.076594,475.929183,13.782999,70.910063,1
9.2,313,4.5,203.686867,7.512763,328.277161,440.383508,14.838814,72.262522,0
7.51,390,2.2,191.737,7.055223,335.17158,397.681019,12.835745,71.532866,1
7.21,39,2.3,202.237843,7.015142,342.787001,415.639624,15.426385,69.448851,1
9.09,594,5.3,197.90145,6.539624,313.961199,416.712136,13.096288,68.292279,0
8.39,294,3.0,192.732499,7.056548,341.482532,425.184427,14.498696,71.192091,0
7.99,86,3.7,206.840863,7.058197,333.804192,497.265177,14.866774,77.389935,0
7.85,395,2.7,194.636028,6.938842,325.355279,437.287328,16.129597,69.474511,0
7.77,270,3.0,192.03422,7.501701,344.545771,403.018628,13.722602,71.275025,1
7.53,143,1.7,196.326898,6.193021,329.975066,446.858767,14.704324,63.466566,0
7.74,385,2.1,198.872187,6.320471,325.972972,409.678249,11.551443,67.305751,1
7.87,394,2.8,201.688141,7.008777,331.603031,425.150422,14.893952,64.873051,0
8.77,494,4.3,184.014796,6.576738,340.248292,436.325886,14.821242,67.326187,0
7.71,388,2.4,200.099983,6.746861,333.970135,416.103537,13.174184,68.979809,1
7.16,35,2.3,209.819943,7.495916,330.000014,416.367779,15.316537,68.692177,1
7.66,325,2.9,207.338038,7.043255,315.676506,465.220133,13.9134,64.138834,0
7.12,88,2.3,197.325657,7.004707,359.686595,423.066527,15.366028,62.677231,1
7.19,228,1.5,195.422205,6.089115,326.66327,438.276028,13.75432,68.570371,1
8.39,69,2.7,203.914564,7.300952,335.236591,475.061024,15.705298,73.414583,0
8.18,62,2.4,194.851969,7.338226,317.672129,475.297456,12.738152,66.958183,1
7.04,209,2.2,204.865408,6.492519,346.165279,418.087052,13.139358,66.539087,0
7.44,391,2.0,198.603907,6.950554,329.18592,377.147869,11.975084,67.179988,1
7.2,36,2.5,193.32772,7.339266,338.516911,441.736998,14.871783,70.222426,1
7.82,62,3.3,189.688901,6.833678,337.382015,442.405429,14.766721,68.498391,1
7.8,386,2.5,214.293499,6.28891,324.891602,436.126026,13.237617,63.196332,0
6.78,240,2.6,184.447498,7.165678,326.569299,414.468129,16.722623,62.830098,1
7.12,92,2.0,192.380363,6.679444,344.635134,425.768859,14.099803,68.86408,1
7.14,255,1.6,198.275826,6.319544,323.286017,430.136267,13.208613,68.91714,0
9.08,585,5.3,198.954261,6.846771,323.554092,453.065797,14.748762,66.598828,0
9.25,315,4.7,206.377716,7.769747,339.201413,433.518126,14.609791,63.263829,0
8.02,340,4.1,205.990545,7.174001,344.560872,433.954203,15.521704,65.218273,0
7.78,386,2.5,214.295156,6.291633,325.480585,435.487741,13.199125,63.101379,0
7.68,353,3.8,220.024651,6.903723,355.95547,430.587372,15.853667,62.923275,1
7.15,35,2.3,209.830989,7.494838,330.098052,416.053462,15.325221,68.700934,1
7.46,23,3.3,200.793277,6.749816,353.960273,363.199758,16.357414,74.815885,1
7.62,334,3.5,199.033137,8.087406,334.550072,420.624008,13.867562,61.844907,1
7.69,394,2.7,194.435442,7.019815,333.307346,418.560313,15.044296,60.4552,0
7.52,65,2.6,195.504816,7.449778,354.005873,424.766649,13.900688,68.923649,1
8.1,190,2.1,187.987261,6.305032,321.472507,469.924314,14.768317,68.380982,1
7.76,389,2.3,195.600135,6.658133,335.705482,411.88745,12.558777,69.292348,1
7.56,164,2.8,196.375421,7.710849,343.346104,367.326477,14.172638,76.519271,1
7.46,143,2.1,189.288123,6.701481,341.701678,478.613011,14.276755,63.98062,1
7.22,40,2.2,202.249745,7.118259,337.735598,427.746918,15.886228,68.619146,1
7.7,393,2.5,194.401017,7.12093,340.393505,431.743521,14.841687,66.766725,0
7.56,424,4.3,190.311552,7.277409,310.480741,459.985619,15.939633,59.939234,0
7.66,101,2.7,199.446493,7.551717,352.062369,401.787785,14.010956,81.484633,1
7.55,430,3.5,192.202819,6.941139,342.839922,371.652796,13.767485,67.732506,1
7.57,522,3.4,201.440068,6.338348,320.382519,389.922063,14.549479,73.493311,0
